🎬主频道,#genre#
熊猫6,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao06/1000/index.m3u8?msisdn=20251120120042e8e2da5927074771aa8c6fb91bd5d382&mdspid=&spid=699004&netType=0&sid=2200200817&pid=2028597139&timestamp=20251120120042&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608935797&ParentNodeID=-99&assertID=2200200817&client_ip=106.13.250.90&SecurityKey=20251120120042&promotionId=&mvid=2200200817&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=76dac8f8e50edec1bf5020d2215c4b43&ddCalcu=3746ebd24a8cc0581f282ed5002e0d5efcb1
熊猫7,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao07/1000/index.m3u8?msisdn=20251120120042f1104946436c4899a62707e0adfa8658&mdspid=&spid=699004&netType=0&sid=2200192831&pid=2028597139&timestamp=20251120120042&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609169286&ParentNodeID=-99&assertID=2200192831&client_ip=106.13.250.90&SecurityKey=20251120120042&promotionId=&mvid=2200192831&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e964e0806f714fbeb7619d307f90f603&ddCalcu=3e09e662f490e090f870063fd791146f7bbe
熊猫8,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao08/1000/index.m3u8?msisdn=20251120120042aae5f52efebe4692961d683a93acf2a6&mdspid=&spid=699004&netType=0&sid=2200192881&pid=2028597139&timestamp=20251120120042&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609169287&ParentNodeID=-99&assertID=2200192881&client_ip=106.13.250.90&SecurityKey=20251120120042&promotionId=&mvid=2200192881&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=63bc8ab22b24553bae0d9506a40c747a&ddCalcu=a673e4b27c9c800a4ba2620b5294d505e3ab
熊猫9,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao09/1000/index.m3u8?msisdn=20251120120042ffe3a01faf5f486a9b4aa0f0d0e4f91b&mdspid=&spid=699004&netType=0&sid=2200192899&pid=2028597139&timestamp=20251120120042&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609169226&ParentNodeID=-99&assertID=2200192899&client_ip=106.13.250.90&SecurityKey=20251120120042&promotionId=&mvid=2200192899&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=8f543c081d03ddc2760530e03c429ffc&ddCalcu=c8ffef529492304cc03801ed00335d0d6c72
# 直播中国共10个频道

📺CCTV,#genre#
CCTV1,http://223.167.245.20:8001/rtp/239.45.3.145:5140
CCTV1,http://114.107.46.215:8188/rtp/238.1.78.166:7200
CCTV1,http://114.254.38.200:18888/rtp/239.3.1.129:8008
CCTV1,http://223.198.242.211:4000/rtp/239.253.64.120:5140
CCTV1,http://61.159.135.108:18000/rtp/238.255.2.91:5999
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.1:8008
CCTV1,http://171.113.214.167:4022/rtp/239.254.96.96:8550
CCTV1,http://111.113.88.198:2000/rtp/239.121.4.113:8636
CCTV1,http://27.191.202.62:19999/rtp/239.254.200.45:8008
CCTV1,http://1.58.246.115:4000/rtp/229.58.190.151:5000
CCTV1,http://180.105.201.177:9981/rtp/239.49.8.129:6000
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.33:8002
CCTV1,http://1.58.246.115:4000/rtp/229.58.190.72:5000
CCTV1,http://180.105.201.177:9981/rtp/239.49.8.19:9614
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.53:8060
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.81:8176
CCTV1,http://106.59.2.235:55555/rtp/239.200.200.2:8080
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.126:8002
CCTV1,http://106.59.2.235:55555/rtp/239.200.200.14:8852
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.194:4120
CCTV1,http://106.59.2.235:55555/rtp/239.200.201.45:8800
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.210:8068
CCTV1,http://106.59.2.235:55555/rtp/239.200.200.117:8712
CCTV1,http://106.120.13.134:4022/rtp/225.1.8.1:8008
CCTV1,http://60.172.82.115:8686/rtp/238.1.78.166:7200
CCTV1,http://121.231.65.86:8095/rtp/239.49.8.129:6000
CCTV1,http://116.235.57.69:4022/rtp/239.45.3.145:5140
CCTV1,http://1.58.246.115:4001/rtp/229.58.190.151:5000
CCTV1,http://111.162.206.238:8686/rtp/225.1.1.120:5002
CCTV1,http://121.231.65.86:8095/rtp/239.49.8.19:9614
CCTV1,http://1.58.246.115:4001/rtp/229.58.190.72:5000
CCTV1,http://106.120.13.134:4022/rtp/225.1.8.53:8060
CCTV1,http://106.59.3.203:55555/rtp/239.200.200.2:8080
CCTV1,http://106.120.13.134:4022/rtp/225.1.8.126:8002
CCTV1,http://106.59.3.203:55555/rtp/239.200.200.14:8852
CCTV1,http://106.59.3.203:55555/rtp/239.200.201.45:8800
CCTV1,http://106.59.3.203:55555/rtp/239.200.200.117:8712
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.1:8008
CCTV1,http://61.159.135.203:4022/rtp/238.255.2.91:5999
CCTV1,http://114.100.195.224:4022/rtp/238.1.78.166:7200
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.33:8002
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.53:8060
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.81:8176
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.126:8002
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.194:4120
CCTV1,http://115.171.216.120:4000/rtp/225.1.8.210:8068
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1,http://101.35.240.114:88/live.php?id=CCTV1
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV10,http://223.167.245.20:8001/rtp/239.45.3.8:5140
CCTV10,http://114.107.46.215:8188/rtp/238.1.78.241:7800
CCTV10,http://114.254.38.200:18888/rtp/239.3.1.63:8116
CCTV10,http://223.198.242.211:4000/rtp/239.253.64.87:5140
CCTV10,http://61.159.135.108:18000/rtp/238.255.2.13:5999
CCTV10,http://115.171.80.57:1688/rtp/225.1.8.10:8116
CCTV10,http://171.113.214.167:4022/rtp/239.69.1.105:10268
CCTV10,http://106.59.2.235:55555/rtp/239.200.200.107:8116
CCTV10,http://111.113.88.198:2000/rtp/239.121.4.158:8932
CCTV10,http://27.191.202.62:19999/rtp/239.254.200.160:6000
CCTV10,http://1.58.246.115:4000/rtp/229.58.190.157:5000
CCTV10,http://180.105.201.177:9981/rtp/239.49.8.134:6000
CCTV10,http://180.105.201.177:9981/rtp/239.49.8.54:9818
CCTV10,http://106.120.13.134:4022/rtp/225.1.8.10:8116
CCTV10,http://60.172.82.115:8686/rtp/238.1.78.241:7800
CCTV10,http://121.231.65.86:8095/rtp/239.49.8.134:6000
CCTV10,http://116.235.57.69:4022/rtp/239.45.3.8:5140
CCTV10,http://106.59.3.203:55555/rtp/239.200.200.107:8116
CCTV10,http://1.58.246.115:4001/rtp/229.58.190.157:5000
CCTV10,http://111.162.206.238:8686/rtp/225.1.1.140:5002
CCTV10,http://121.231.65.86:8095/rtp/239.49.8.54:9818
CCTV10,http://115.171.216.120:4000/rtp/225.1.8.10:8116
CCTV10,http://61.159.135.203:4022/rtp/238.255.2.13:5999
CCTV10,http://114.100.195.224:4022/rtp/238.1.78.241:7800
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,http://101.35.240.114:88/live.php?id=CCTV10
CCTV10,http://148.135.93.213:81/live.php?id=CCTV10
CCTV11,http://223.167.245.20:8001/rtp/239.45.1.196:5140
CCTV11,http://114.107.46.215:8188/rtp/238.1.78.206:7502
CCTV11,http://114.254.38.200:18888/rtp/239.3.1.152:8120
CCTV11,http://223.198.242.211:4000/rtp/239.253.64.70:5140
CCTV11,http://61.159.135.108:18000/rtp/238.255.2.14:5999
CCTV11,http://115.171.80.57:1688/rtp/225.1.8.73:8120
