央视频道,#genre#
黑龙江卫视,http://[2409:8087:1a15:10d1::33]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
内蒙古卫视,http://[2409:8087:1a15:10d1::35]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
广东卫视,http://lml1971.cn:35455/gptv/G_GUANGDONG-HQ.m3u8
深圳卫视,http://lml1971.cn:35455/gptv/G_SHENZHEN-HQ.m3u8
北京卫视,http://lml1971.cn:35455/gptv/G_BEIJING-HQ.m3u8
北京卫视4K,http://lml1971.cn:35455/gptv/G_BEIJING-4K.m3u8
湖南卫视,http://lml1971.cn:35455/gptv/G_HUNAN-HQ.m3u8
江苏卫视,http://lml1971.cn:35455/gptv/G_JIANGSU-HQ.m3u8
安徽卫视,http://lml1971.cn:35455/gptv/G_ANHUI-HQ.m3u8
东方卫视,http://lml1971.cn:35455/gptv/G_DONGFANG-HQ.m3u8
东南卫视,http://lml1971.cn:35455/gptv/G_DONGNAN-HQ.m3u8
甘肃卫视,http://lml1971.cn:35455/gptv/G_GANSU-HQ.m3u8
广西卫视,http://lml1971.cn:35455/gptv/G_GUANGXI-HQ.m3u8
贵州卫视,http://lml1971.cn:35455/gptv/G_GUIZHOU-HQ.m3u8
海南卫视,http://lml1971.cn:35455/gptv/G_HAINAN-HQ.m3u8
河北卫视,http://lml1971.cn:35455/gptv/G_HEBEI-HQ.m3u8
河南卫视,http://lml1971.cn:35455/gptv/G_HENAN-HQ.m3u8
湖北卫视,http://lml1971.cn:35455/gptv/G_HUBEI-HQ.m3u8
吉林卫视,http://lml1971.cn:35455/gptv/G_JILIN-HQ.m3u8
江西卫视,http://lml1971.cn:35455/gptv/G_JIANGXI-HQ.m3u8
康巴卫视,http://lml1971.cn:35455/gptv/G_KANGBA.m3u8
辽宁卫视,http://lml1971.cn:35455/gptv/G_LIAONING-HQ.m3u8
宁夏卫视,http://lml1971.cn:35455/gptv/G_NINGXIA.m3u8
农林卫视,http://lml1971.cn:35455/gptv/G_NONGLIN.m3u8
三沙卫视,http://lml1971.cn:35455/gptv/G_SANSHA-HQ.m3u8
山东卫视,http://lml1971.cn:35455/gptv/G_SHANDONG-HQ.m3u8
陕西卫视,http://lml1971.cn:35455/gptv/G_SHANXI-HQ.m3u8
四川卫视,http://lml1971.cn:35455/gptv/G_SICHUAN-HQ.m3u8
天津卫视,http://lml1971.cn:35455/gptv/G_TIANJIN-HQ.m3u8
西藏卫视,http://lml1971.cn:35455/gptv/G_XIZANG.m3u8
新疆卫视,http://lml1971.cn:35455/gptv/G_XINJIANG.m3u8
兵团卫视,http://lml1971.cn:35455/gptv/G_BINGTUAN.m3u8
安多卫视,http://lml1971.cn:35455/gptv/G_ANDUO.m3u8
延边卫视,http://lml1971.cn:35455/gptv/G_YANBIAN.m3u8
云南卫视,http://lml1971.cn:35455/gptv/G_YUNNAN-HQ.m3u8
浙江卫视,http://lml1971.cn:35455/gptv/G_ZHEJIANG-HQ.m3u8
重庆卫视,http://lml1971.cn:35455/gptv/G_CHONGQING-HQ.m3u8
黑龙江卫视,http://lml1971.cn:35455/gptv/G_HEILONGJIANG-HQ.m3u8
内蒙古卫视,http://lml1971.cn:35455/gptv/G_NEIMENGGU.m3u8
广东卫视,http://112.80.203.154:9003/hls/30/index.m3u8
深圳卫视,http://112.80.203.154:9003/hls/45/index.m3u8
北京卫视,http://112.80.203.154:9003/hls/24/index.m3u8
湖南卫视,http://112.80.203.154:9003/hls/29/index.m3u8
江苏卫视,http://112.80.203.154:9003/hls/16/index.m3u8
安徽卫视,http://112.80.203.154:9003/hls/27/index.m3u8
东方卫视,http://112.80.203.154:9003/hls/23/index.m3u8
东南卫视,http://112.80.203.154:9003/hls/36/index.m3u8
甘肃卫视,http://112.80.203.154:9003/hls/49/index.m3u8
广西卫视,http://112.80.203.154:9003/hls/31/index.m3u8
贵州卫视,http://112.80.203.154:9003/hls/43/index.m3u8
海南卫视,http://112.80.203.154:9003/hls/32/index.m3u8
河北卫视,http://112.80.203.154:9003/hls/47/index.m3u8
河南卫视,http://112.80.203.154:9003/hls/35/index.m3u8
湖北卫视,http://112.80.203.154:9003/hls/39/index.m3u8
吉林卫视,http://112.80.203.154:9003/hls/40/index.m3u8
江西卫视,http://112.80.203.154:9003/hls/38/index.m3u8
辽宁卫视,http://112.80.203.154:9003/hls/26/index.m3u8
宁夏卫视,http://112.80.203.154:9003/hls/48/index.m3u8
青海卫视,http://112.80.203.154:9003/hls/44/index.m3u8
山东卫视,http://112.80.203.154:9003/hls/28/index.m3u8
山西卫视,http://112.80.203.154:9003/hls/42/index.m3u8
四川卫视,http://112.80.203.154:9003/hls/34/index.m3u8
天津卫视,http://112.80.203.154:9003/hls/37/index.m3u8
新疆卫视,http://112.80.203.154:9003/hls/50/index.m3u8
云南卫视,http://112.80.203.154:9003/hls/46/index.m3u8
浙江卫视,http://112.80.203.154:9003/hls/25/index.m3u8
重庆卫视,http://112.80.203.154:9003/hls/33/index.m3u8
黑龙江卫视,http://112.80.203.154:9003/hls/41/index.m3u8
内蒙古卫视,http://112.80.203.154:9003/hls/51/index.m3u8
高清频道,#genre#
CCTV-4K,http://lml1971.cn:35455/gptv/G_CCTV-4K-HD.m3u8
Fashion4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
Loue4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
LoveNature4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
北京卫视4K,http://lml1971.cn:35455/gptv/G_BEIJING-4K.m3u8
数字频道,#genre#
NewTV黑莓电影,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
NewTV中国功夫,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
NewTV家庭剧场,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTV爱情喜剧,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
NewTV精品大剧,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
